doc_id,num_code,agency_id,effect,type,is_outstanding,date_issued,date_effective,date_published,sign_person_id,status_id,num_gazette,created_at,updated_at
82,1761/QĐ-UBND,Tỉnh Điện Biên,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Phạm Đức Toàn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
83,1125/QĐ-TTg,Thủ tướng Chính phủ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Văn Thành,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
84,16/2022/QĐ-UBND,Tỉnh Bắc Ninh,Còn hiệu lực,Quyết định,0,23/09/2022,15/10/2022,23/09/2022,Nguyễn Hương Giang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
85,06/2022/TT-BVHTTDL,Bộ Văn hoá, Thể thao và du lịch,Còn hiệu lực,Thông tư,0,23/09/2022,01/01/2023,23/09/2022,Nguyễn Văn Hùng,Còn hiệu lực,29/01/2023,2024-07-22 10:47:04,2024-07-22 10:47:04
86,3592/QĐ-BNN-BVTV,Bộ Nông nghiệp và Phát triển nông thôn,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Quốc Doanh,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
87,69/2022/NĐ-CP,Chính phủ,Còn hiệu lực,Nghị định,0,23/09/2022,30/10/2022,23/09/2022,Lê Văn Thành,Còn hiệu lực,02/10/2022,2024-07-22 10:47:04,2024-07-22 10:47:04
88,270/KH-UBND,Tỉnh Bình Phước,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Trần Tuyết Minh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
89,572/QĐ-QLD,Cục Quản lý dược,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Vũ Tuấn Cường,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
90,2270/QĐ-UBND,Tỉnh Thái Nguyên,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Quang Tiến,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
91,1905/QĐ-BKHCN,Bộ Khoa học và Công nghệ,Hết hiệu lực: 29/09/2023,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Bùi Thế Duy,Hết hiệu lực: 29/09/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
92,2340/QĐ-UBND,Tỉnh Bình Dương,Hết hiệu lực: 05/06/2023,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Võ Văn Minh,Hết hiệu lực: 05/06/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
93,19/2022/QĐ-UBND,Tỉnh Bà Rịa - Vũng Tàu,Còn hiệu lực,Quyết định,0,23/09/2022,06/10/2022,23/09/2022,Nguyễn Công Vinh,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
94,11/2022/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,04/10/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
95,573/QĐ-QLD,Cục Quản lý dược,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Vũ Tuấn Cường,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
96,09/VBHN-BCT,Bộ Công thương,Còn hiệu lực,Văn bản hợp nhất,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Hồng Diên,Còn hiệu lực,08/10/2022,2024-07-22 10:47:04,2024-07-22 10:47:04
97,1122/QĐ-TTg,Thủ tướng Chính phủ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Vũ Đức Đam,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
98,1124/QĐ-TTg,Thủ tướng Chính phủ,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Vũ Đức Đam,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
99,12/2022/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,04/10/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
100,3101/QĐ-UBND,Tỉnh Bình Định,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lâm Hải Giang,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
101,15/2022/NQ-HĐND,Tỉnh Hà Giang,Hết hiệu lực: 23/10/2023,Nghị quyết,0,23/09/2022,05/10/2022,23/09/2022,Thào Hồng Sơn,Hết hiệu lực: 23/10/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
102,14/2022/NQ-HĐND,Tỉnh Hà Giang,Hết hiệu lực: 20/12/2023,Nghị quyết,0,23/09/2022,05/10/2022,23/09/2022,Thào Hồng Sơn,Hết hiệu lực: 20/12/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
103,13/2022/NQ-HĐND,Tỉnh Hà Giang,Hết hiệu lực: 22/10/2023,Nghị quyết,0,23/09/2022,05/10/2022,23/09/2022,Thào Hồng Sơn,Hết hiệu lực: 22/10/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
104,11/2022/NQ-HĐND,Tỉnh Hà Giang,Hết hiệu lực: 22/10/2023,Nghị quyết,0,23/09/2022,05/10/2022,23/09/2022,Thào Hồng Sơn,Hết hiệu lực: 22/10/2023,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
105,1724/QĐ-UBND,Tỉnh Lâm Đồng,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Văn Hiệp,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
106,1218/QĐ-BGTVT,Bộ Giao thông vận tải,Còn hiệu lực,Quyết định,0,23/09/2022,01/10/2022,23/09/2022,Nguyễn Văn Thể,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
107,13/2022/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,04/10/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
108,29/CĐ-QG,Ủy ban Quốc gia ứng phó sự cố, thiên tai và tìm kiếm cứu nạn,,Còn hiệu lực,Công điện,0,24/09/2022,24/09/2022,24/09/2022,Nguyễn Hoàng Hiệp,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
